,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
23,tt9484998,Palm Springs,,2020, 10 July 2020,"Comedy, Fantasy, Mystery",90,USA,English,Max Barbakow,Andy Siara,,,"When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated as they are unable to escape the venue, themselves, or each other.",7.4,86761,,,,83.0,,
24,tt7737786,Greenland,,2020, 18 December 2020,"Action, Drama, Thriller",119,USA,English,Ric Roman Waugh,Chris Sparling,,,A family struggles for survival in the face of a cataclysmic natural disaster.,6.4,67763,,,,64.0,,
25,tt13143964,Borat Subsequent Moviefilm,,2020, 23 October 2020,Comedy,95,UK,English,Jason Woliner,,,,"Borat returns from Kazakhstan to America and this time he reveals more about the American culture, the COVID-19 pandemic and the political elections.",6.7,109791,,,,68.0,,
26,tt10272386,The Father,,2020, 26 February 2021,Drama,97,UK,English,Florian Zeller,,,,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",8.0,2061,,,,87.0,,
27,tt8114980,Willy's Wonderland,,2021, 12 February 2021,"Action, Comedy, Horror",88,USA,English,Kevin Lewis,G.O. Parsons,,,"A quiet drifter is tricked into a janitorial job at the now condemned Willy's Wonderland. The mundane tasks suddenly become an all-out fight for survival against wave after wave of demonic animatronics. Fists fly, kicks land, titans clash -- and only one side will make it out alive.",5.6,7361,,,,42.0,,
28,tt7541720,Music,,2021, 12 February 2021,"Drama, Musical",107,USA,English,Sia,,,,"Zu is newly sober when she receives news that she is to become the sole guardian of her half-sister named Music, a young girl on the autism spectrum. The film explores two of Sia's favorite themes: finding your voice and creating family.",3.1,4967,,,,23.0,,
29,tt10886166,365 Days,,2020, 7 June 2020,"Drama, Romance",114,Poland,Polish,,,,,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",3.2,53059,,,,,,
30,tt13269536,Girl in the Basement,,2021, 27 February 2021,"Crime, Thriller",88,USA,English,Elisabeth Röhm,,,,"Sara is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",6.3,362,,,,,,
31,tt5624466,Son,,2021, 5 March 2021,"Horror, Thriller",98,Ireland,,Ivan Kavanagh,Ivan Kavanagh,,,"When a young boy contracts a mysterious illness, his mother must decide how far she will go to protect him from terrifying forces in her past.",5.6,725,,,,,,
32,tt2850386,The Croods: A New Age,,2020, 25 November 2020,"Animation, Adventure, Comedy",95,USA,English,Joel Crawford,,,,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",7.0,19311,,,,56.0,,
33,tt9731682,Crisis,,2021, 26 February 2021,"Drama, Thriller",118,Canada,English,Nicholas Jarecki,Nicholas Jarecki,,,"Three stories about the world of opioids collide: a drug trafficker arranges a multi-cartel Fentanyl smuggling operation between Canada and the U.S., an architect recovering from an ...
                    See full summary »",6.1,880,,,,43.0,,
34,tt12361178,Drishyam 2,,2021, 19 February 2021,"Drama, Thriller",152,India,Malayalam,Jeethu Joseph,Jeethu Joseph,,,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,8.8,19630,,,,,,
35,tt10514222,Ma Rainey's Black Bottom,,2020, 18 December 2020,"Drama, Music",94,USA,English,George C. Wolfe,,,,"During a recording session, tensions rise between Ma Rainey, her ambitious horn player and the white management determined to control the uncontrollable ""Mother of the Blues"".",7.1,25993,,,,87.0,,
36,tt3797512,Barb and Star Go to Vista Del Mar,,2021, 12 February 2021,Comedy,107,USA,English,Josh Greenbaum,,,,Lifelong friends Barb and Star embark on the adventure of a lifetime when they decide to leave their small Midwestern town for the first time - ever.,6.6,4109,,,,64.0,,
37,tt10612922,One Night in Miami...,,2020, 8 January 2021,Drama,114,USA,English,Regina King,,,,"A fictional account of one incredible night where icons Muhammad Ali, Malcolm X, Sam Cooke, and Jim Brown gathered discussing their roles in the Civil Rights Movement and cultural upheaval of the 60s.",7.2,17379,,,,83.0,,
38,tt5797184,Escape from Pretoria,,2020, 6 March 2020,Thriller,106,UK,English,Francis Annan,,,,"Based on the real-life prison break of two political captives, Escape From Pretoria is a race-against-time thriller set in the tumultuous apartheid days of South Africa.",6.8,23372,,,,56.0,,
39,tt8521736,Flora & Ulysses,,2021, 19 February 2021,"Adventure, Comedy, Family",95,USA,English,Lena Khan,,,,The adventures of a young girl and a squirrel with superpowers.,6.4,2982,,,,62.0,,
40,tt9204164,Bigfoot Family,,2020, 26 January 2021,"Animation, Family",89,Belgium,French,,,,,"Follow up to Son of Bigfoot: Father uses his new fame to fight against an Alaska oil company but when he disappears the son, the mother, a raccoon and a bear head North to rescue him.",5.8,1281,,,,,,
41,tt10333426,Bliss,,2021, 5 February 2021,"Drama, Romance, Sci-Fi",103,USA,English,Mike Cahill,Mike Cahill,,,"A mind-bending love story following Greg who, after recently being divorced and then fired, meets the mysterious Isabel, a woman living on the streets and convinced that the polluted, broken world around them is a computer simulation.",5.3,9799,,,,40.0,,
42,tt9214832,Emma.,,2020, 6 March 2020,"Comedy, Drama, Romance",124,UK,English,Autumn de Wilde,,,,"In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends.",6.7,32831,,,,71.0,,
43,tt10288566,Another Round,,2020, 18 December 2020,"Comedy, Drama",117,Denmark,Danish,Thomas Vinterberg,,,,"Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood.",7.8,44775,,,,81.0,,
44,tt6857376,Palmer,,2021, 29 January 2021,Drama,110,USA,English,Fisher Stevens,Cheryl Guerriero,,,An ex-convict strikes up a friendship with a boy from a troubled home.,7.3,17866,,,,53.0,,
45,tt10265034,Land,,2021, 12 February 2021,Drama,89,USA,English,Robin Wright,,,,"A bereaved woman seeks out a new life, off the grid in Wyoming.",6.6,1009,,,,62.0,,
46,tt7937254,Silk Road,,2021, 19 February 2021,"Crime, Drama, Thriller",112,USA,English,Tiller Russell,,,,"Philosophical twenty-something Ross Ulbricht creates Silk Road, a dark net website that sells drugs, while DEA agent Rick Bowden goes undercover to bring him down.",5.8,1321,,,,42.0,,
47,tt11080108,The Map of Tiny Perfect Things,,2021, 12 February 2021,"Comedy, Fantasy, Romance",98,USA,English,Ian Samuels,,,,"Two teens who live the same day repeatedly, enabling them to create the titular map.",6.8,8336,,,,61.0,,
48,tt11698630,Crazy About Her,,2021, 26 February 2021,"Comedy, Romance",102,Spain,Spanish,Dani de la Orden,,,,"After a magical night together, Adri voluntarily turns himself into the psychiatric institution where Carla lives.",6.6,1985,,,,,,
49,tt8597594,Adverse,,2020, 12 February 2021,"Crime, Thriller",94,USA,English,Brian A. Metcalf,Brian A. Metcalf,,,A rideshare driver discovers that his sister is in debt to a dangerous crime syndicate.,7.5,4976,,,,,,
50,tt6264654,Free Guy,,2021, 21 May 2021,"Action, Adventure, Comedy",,USA,English,Shawn Levy,,,,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",8.1,211,,,,,,
51,tt7395114,The Devil All the Time,,2020, 16 September 2020,"Crime, Drama, Thriller",138,USA,English,Antonio Campos,,,,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,7.1,95870,,,,55.0,,
52,tt11161474,Pieces of a Woman,,2020, 7 January 2021,Drama,126,Canada,English,Kornél Mundruczó,Kata Wéber,,,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",7.1,27344,,,,66.0,,
53,tt12676326,Malcolm & Marie,,2021, 5 February 2021,"Drama, Romance",106,USA,English,Sam Levinson,Sam Levinson,,,A director and his girlfriend's relationship is tested after they return home from his movie premiere and await critics' responses.,6.7,23578,,,,53.0,,
54,tt9686708,The King of Staten Island,,2020, 12 June 2020,"Comedy, Drama",136,USA,English,Judd Apatow,,,,Scott has been a case of arrested development since his firefighter dad died. He spends his days smoking weed and dreaming of being a tattoo artist until events force him to grapple with his grief and take his first steps forward in life.,7.1,40835,,,,67.0,,
55,tt10362466,After We Collided,,2020, 23 October 2020,"Drama, Romance",105,USA,English,Roger Kumble,,,,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults.",5.0,19301,,,,14.0,,
56,tt11032374,Demon Slayer the Movie: Mugen Train,,2020, 16 October 2020,"Animation, Action, Adventure",117,Japan,Japanese,Haruo Sotozaki,,,,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",8.3,4720,,,,,,
57,tt7713068,Birds of Prey,,2020, 7 February 2020,"Action, Adventure, Comedy",109,USA,English,Cathy Yan,,,,"After splitting with the Joker, Harley Quinn joins superheroes Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.",6.1,172077,,,,60.0,,
58,tt8503618,Hamilton,,2020, 3 July 2020,"Biography, Drama, History",160,USA,English,Thomas Kail,,,,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",8.5,58980,,,,90.0,,
59,tt4566758,Mulan,,2020, 4 September 2020,"Action, Adventure, Drama",115,USA,English,Niki Caro,,,,A young Chinese maiden disguises herself as a male warrior in order to save her father.,5.6,113382,,,,66.0,,
60,tt6902332,The Marksman,,2021, 15 January 2021,"Action, Thriller",108,USA,English,Robert Lorenz,,,,A rancher on the Arizona border becomes the unlikely defender of a young Mexican boy desperately fleeing the cartel assassins who've pursued him into the U.S.,5.9,2019,,,,44.0,,
61,tt6571548,The White Tiger,,2021, 22 January 2021,"Crime, Drama",125,India,Hindi,Ramin Bahrani,,,,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,7.2,32848,,,,76.0,,
62,tt3794354,Sonic the Hedgehog,,2020, 14 February 2020,"Action, Adventure, Comedy",99,USA,English,Jeff Fowler,,,,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",6.5,92185,,,,47.0,,
63,tt7149730,The Silencing,,2020, 18 July 2020,"Action, Crime, Thriller",93,Canada,English,Robin Pront,Micah Ranum,,,A reformed hunter living in isolation on a wildlife sanctuary becomes involved in a deadly game of cat and mouse when he and the local Sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.,6.2,12901,,,,,,
64,tt10676012,To All the Boys: Always and Forever,,2021, 12 February 2021,"Comedy, Drama, Romance",109,USA,English,Michael Fimognari,,,,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans - with and without Peter.,6.3,12894,,,,65.0,,
65,tt10919380,Freaky,,2020, 13 November 2020,"Comedy, Horror, Thriller",102,USA,English,Christopher Landon,,,,"After swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent.",6.3,25919,,,,66.0,,
66,tt1051906,The Invisible Man,,2020, 28 February 2020,"Drama, Horror, Mystery",124,Canada,English,Leigh Whannell,,,,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",7.1,171618,,,,72.0,,
67,tt11307814,Red Dot,,2021, 11 February 2021,"Drama, Horror, Thriller",86,Sweden,Swedish,Alain Darborg,,,,"When Nadja becomes pregnant, they make an attempt to rekindle their relationship by traveling to the north of Sweden for a hiking trip but soon their romantic trip turns into a nightmare.",5.5,8621,,,,,,
68,tt12838766,Seungriho,,2021, 5 February 2021,"Action, Adventure, Drama",136,South Korea,Russian,Sung-hee Jo,Sung-hee Jo,,,"Set in the year 2092 and follows the crew of a space junk collector ship called The Victory. When they discover a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal.",6.6,14454,,,,64.0,,
69,tt7846844,Enola Holmes,,2020, 23 September 2020,"Action, Adventure, Crime",123,UK,English,Harry Bradbeer,,,,"When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.",6.6,129117,,,,68.0,,
70,tt0805647,The Witches,,2020, 22 October 2020,"Adventure, Comedy, Family",106,USA,English,Robert Zemeckis,,,,A young boy and his grandmother have a run-in with a coven of witches and their leader.,5.3,24651,,,,47.0,,
71,tt10554232,Dara of Jasenovac,,2020, 5 February 2021,"Drama, War",130,Serbia,Serbian,Predrag Antonijevic,Natasa Drakulic,,,Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.,8.4,33371,,,,,,
72,tt8244784,The Hunt,,2020, 13 March 2020,"Action, Horror, Thriller",90,USA,English,Craig Zobel,,,,"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.",6.5,71021,,,,50.0,,
73,tt4823776,The SpongeBob Movie: Sponge on the Run,,2020, 4 March 2021,"Animation, Adventure, Comedy",91,USA,English,Tim Hill,,,,"After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to The Lost City of Atlantic City to bring Gary home.",6.0,11359,,,,63.0,,
74,tt4682266,The New Mutants,,2020, 28 August 2020,"Action, Horror, Sci-Fi",94,USA,English,Josh Boone,,,,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",5.3,46083,,,,43.0,,
75,tt8784956,Ava,,2020, 25 September 2020,"Action, Crime, Drama",96,USA,English,Tate Taylor,Matthew Newton,,,"Ava is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. When a job goes dangerously wrong she is forced to fight for her own survival.",5.4,40886,,,,39.0,,
76,tt10059518,Unhinged,,2020, 21 August 2020,"Action, Thriller",90,USA,English,Derrick Borte,Carl Ellsworth,,,"After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",6.0,36787,,,,40.0,,
77,tt10451914,Outside the Wire,,2021, 15 January 2021,"Action, Adventure, Fantasy",114,Hungary,English,Mikael Håfström,,,,"In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.",5.4,30915,,,,45.0,,
78,tt9076562,Irresistible,,2020, 26 June 2020,"Comedy, Drama",101,USA,English,Jon Stewart,Jon Stewart,,,"A Democratic strategist helps a retired veteran run for mayor in a small, conservative Midwest town.",6.3,11706,,,,47.0,,
79,tt10332588,Finding 'Ohana,,2021, 29 January 2021,"Action, Adventure, Comedy",123,USA,Spanish,Jude Weng,,,,"A summer in rural O‘ahu takes an exciting turn for two Brooklyn-raised siblings when a journal pointing to long-lost treasure sets them on an epic adventure with new friends, and leads them to reconnect with their Hawaiian heritage.",6.1,5845,,,,69.0,,
80,tt10334148,Blithe Spirit,,2020, 19 February 2021,"Comedy, Fantasy, Romance",99,UK,English,Edward Hall,,,,"A spiritualist medium holds a seance for a writer suffering from writer's block but accidentally summons the spirit of his deceased first wife, which leads to an increasingly complex love triangle with his current wife of five years.",5.4,2258,,,,26.0,,
81,tt2222042,Love and Monsters,,2020, 16 October 2020,"Action, Adventure, Comedy",109,Canada,English,Michael Matthews,,,,"In a monster-infested world, Joel learns his girlfriend is just 85 miles away. To make the dangerous journey, Joel discovers his inner hero to be with the girl of his dreams.",7.0,33668,,,,59.0,,
82,tt10161886,The Prom,,2020, 11 December 2020,"Comedy, Drama, Musical",130,USA,English,Ryan Murphy,,,,A troupe of hilariously self-obsessed theater stars swarm into a small conservative Indiana town in support of a high school girl who wants to take her girlfriend to the prom.,6.0,22134,,,,55.0,,
83,tt9691136,Shadow in the Cloud,,2020, 1 January 2021,"Action, Horror, War",83,New Zealand,English,Roseanne Liang,,,,A female WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.,4.8,12495,,,,66.0,,
84,tt6772802,Hillbilly Elegy,,2020, 24 November 2020,Drama,116,USA,English,Ron Howard,,,,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.",6.8,25582,,,,38.0,,
85,tt10037014,Fear of Rain,,2021, 12 February 2021,"Drama, Horror, Thriller",109,USA,English,Castille Landon,Castille Landon,,,A girl living with schizophrenia struggles with terrifying hallucinations as she begins to suspect her neighbor has kidnapped a child. The only person who believes her is Caleb -a boy she isn't even sure exists.,5.9,1655,,,,,,
86,tt10539608,The Midnight Sky,,2020, 23 December 2020,"Drama, Fantasy, Sci-Fi",118,USA,English,George Clooney,,,,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",5.6,67788,,,,58.0,,
87,tt10600398,We Can Be Heroes,,2020, 25 December 2020,"Action, Comedy, Drama",100,USA,English,Robert Rodriguez,Robert Rodriguez,,,"When alien invaders capture the Earth's superheroes, their kids must learn to work together to save their parents- and the planet.",4.7,10515,,,,51.0,,
88,tt7556122,The Old Guard,,2020, 10 July 2020,"Action, Adventure, Fantasy",125,USA,English,Gina Prince-Bythewood,,,,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,6.6,129487,,,,70.0,,
89,tt9340860,Let Him Go,,2020, 6 November 2020,"Crime, Drama, Thriller",113,USA,English,Thomas Bezucha,,,,"A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.",6.7,12099,,,,63.0,,
90,tt7939766,I'm Thinking of Ending Things,,2020, 4 September 2020,"Drama, Thriller",134,USA,English,Charlie Kaufman,,,,"Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.",6.6,63476,,,,78.0,,
91,tt10003008,The Rental,,2020, 24 July 2020,"Drama, Horror, Mystery",88,USA,English,Dave Franco,,,,Two couples rent a vacation home for what should be a celebratory weekend get-away.,5.7,18627,,,,62.0,,
92,tt5918982,Possessor,,2020, 2 October 2020,"Horror, Sci-Fi, Thriller",103,Canada,English,Brandon Cronenberg,Brandon Cronenberg,,,Possessor follows an agent who works for a secretive organization that uses brain-implant technology to inhabit other people's bodies - ultimately driving them to commit assassinations for high-paying clients.,6.5,19042,,,,72.0,,
93,tt11169050,Supernova,,2020, 29 January 2021,"Drama, Romance",95,UK,English,Harry Macqueen,Harry Macqueen,,,"Sam and Tusker are traveling across England in their old RV to visit friends, family and places from their past. Since Tusker was diagnosed with dementia two years ago, their time together is the most important thing they have.",6.7,2117,,,,73.0,,
94,tt11456054,Run Hide Fight,,2020, 14 January 2021,"Action, Thriller",109,USA,English,Kyle Rankin,Kyle Rankin,,,"17-year-old Zoe Hull uses her wits, survival skills, and compassion to fight for her life, and those of her fellow classmates, against a group of live-streaming school shooters.",6.4,13683,,,,13.0,,
95,tt8829830,Fatale,,2020, 18 December 2020,Thriller,102,USA,English,Deon Taylor,David Loughery,,,"After a one-night stand, a successful married man finds himself entangled in a cunning police detective's latest investigation.",5.2,3390,,,,42.0,,
96,tt6317656,Penguin Bloom,,2020, 27 January 2021,Drama,95,Australia,English,Glendyn Ivin,,,,A family takes in an injured Magpie that makes a profound difference in their lives.,6.8,4692,,,,54.0,,
97,tt9845564,Below Zero,,2021, 29 January 2021,"Action, Adventure, Crime",106,Spain,Spanish,Lluís Quílez,,,,"On a lonely road, a prison transport is brutally assaulted. Martin, the policeman who was driving, survives and fortifies his position while the con men search for a way to finish him.",6.2,12513,,,,,,
98,tt1838556,Honest Thief,,2020, 16 October 2020,"Action, Crime, Drama",99,USA,German,Mark Williams,,,,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.",6.0,25513,,,,46.0,,
99,tt10229558,The Dark and the Wicked,,2020, 6 November 2020,Horror,95,USA,English,Bryan Bertino,Bryan Bertino,,,"On a secluded farm in a nondescript rural town, a man is slowly dying. His family gathers to mourn, and soon a darkness grows, marked by waking nightmares and a growing sense that something evil is taking over the family.",6.1,8309,,,,72.0,,
100,tt11252440,Psycho Goreman,,2020, 22 January 2021,"Comedy, Horror, Sci-Fi",95,Canada,English,Steven Kostanski,Steven Kostanski,,,"After unearthing a gem that controls an evil monster looking to destroy the Universe, a young girl and her brother use it to make him do their bidding.",6.2,4405,,,,69.0,,
101,tt8633478,Run,,2020, 20 November 2020,"Horror, Mystery, Thriller",90,USA,English,Aneesh Chaganty,,,,A homeschooled teenager begins to suspect her mother is keeping a dark secret from her.,6.7,29537,,,,67.0,,
102,tt8936646,Extraction,,2020, 24 April 2020,"Action, Thriller",116,USA,English,Sam Hargrave,,,,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.",6.7,161561,,,,56.0,,
